refund_id,requested_at,reviewed_at,batched_at,paid_at
R001,2026-07-01T09:00:00+09:00,2026-07-01T11:00:00+09:00,2026-07-02T09:00:00+09:00,2026-07-02T11:00:00+09:00
R002,2026-07-01T10:00:00+09:00,2026-07-01T13:00:00+09:00,2026-07-02T09:00:00+09:00,2026-07-02T10:00:00+09:00
R003,2026-07-02T08:00:00+09:00,2026-07-02T10:00:00+09:00,2026-07-03T09:00:00+09:00,2026-07-03T11:00:00+09:00
R004,2026-07-02T11:00:00+09:00,2026-07-02T14:00:00+09:00,2026-07-03T09:00:00+09:00,2026-07-03T12:00:00+09:00
R005,2026-07-03T09:00:00+09:00,2026-07-03T13:00:00+09:00,2026-07-04T09:00:00+09:00,2026-07-04T11:00:00+09:00
R006,2026-07-03T12:00:00+09:00,2026-07-03T14:00:00+09:00,2026-07-04T09:00:00+09:00,2026-07-04T10:00:00+09:00
R007,2026-07-04T08:00:00+09:00,2026-07-04T11:00:00+09:00,2026-07-05T09:00:00+09:00,2026-07-05T11:00:00+09:00
R008,2026-07-04T10:00:00+09:00,2026-07-04T12:00:00+09:00,2026-07-05T09:00:00+09:00,2026-07-05T12:00:00+09:00
R009,2026-07-05T09:00:00+09:00,2026-07-05T13:00:00+09:00,2026-07-06T09:00:00+09:00,2026-07-06T11:00:00+09:00
R010,2026-07-05T11:00:00+09:00,2026-07-05T14:00:00+09:00,2026-07-06T09:00:00+09:00,2026-07-06T10:00:00+09:00
R011,2026-07-06T08:00:00+09:00,2026-07-06T10:00:00+09:00,2026-07-07T09:00:00+09:00,2026-07-07T11:00:00+09:00
R012,2026-07-06T10:00:00+09:00,2026-07-06T13:00:00+09:00,2026-07-07T09:00:00+09:00,2026-07-07T12:00:00+09:00
R013,2026-07-07T09:00:00+09:00,2026-07-07T11:00:00+09:00,2026-07-08T09:00:00+09:00,2026-07-08T10:00:00+09:00
R014,2026-07-07T12:00:00+09:00,2026-07-07T15:00:00+09:00,2026-07-08T09:00:00+09:00,2026-07-08T11:00:00+09:00
R015,2026-07-08T08:00:00+09:00,2026-07-08T12:00:00+09:00,2026-07-09T09:00:00+09:00,2026-07-09T12:00:00+09:00
R016,2026-07-08T11:00:00+09:00,2026-07-08T13:00:00+09:00,2026-07-09T09:00:00+09:00,2026-07-09T10:00:00+09:00
R017,2026-07-09T09:00:00+09:00,2026-07-09T12:00:00+09:00,2026-07-10T09:00:00+09:00,2026-07-10T11:00:00+09:00
R018,2026-07-09T10:00:00+09:00,2026-07-09T12:00:00+09:00,2026-07-10T09:00:00+09:00,2026-07-10T12:00:00+09:00
R019,2026-07-10T08:00:00+09:00,2026-07-10T11:00:00+09:00,2026-07-11T09:00:00+09:00,2026-07-11T10:00:00+09:00
R020,2026-07-10T12:00:00+09:00,2026-07-10T16:00:00+09:00,2026-07-11T09:00:00+09:00,2026-07-11T11:00:00+09:00
R021,2026-07-11T09:00:00+09:00,2026-07-11T11:00:00+09:00,2026-07-12T09:00:00+09:00,2026-07-12T12:00:00+09:00
R022,2026-07-11T11:00:00+09:00,2026-07-11T14:00:00+09:00,2026-07-12T09:00:00+09:00,2026-07-12T10:00:00+09:00
R023,2026-07-12T08:00:00+09:00,2026-07-12T12:00:00+09:00,2026-07-13T09:00:00+09:00,2026-07-13T11:00:00+09:00
R024,2026-07-12T10:00:00+09:00,2026-07-12T12:00:00+09:00,2026-07-13T09:00:00+09:00,2026-07-13T12:00:00+09:00
